,Stock,Index,RS Rating,RS Rating 2,RS Rating 3,50 Day MA,150 Day Ma,200 Day MA,52 Week Low,52 week High
116,KNSA,2805,24.10000037711017,23.23011464969452,24.475889762091608,16.17,16.15,15.06,10.4399995803833,20.200000762939453
117,KOP,2812,36.01308598119262,36.57029203237756,28.740436479832415,40.74,37.6,36.51,27.96999931335449,46.5099983215332
118,KTOS,2843,53.546003825051685,45.104377274509616,40.097697472780155,18.4,15.86,15.16,9.199999809265137,21.15999984741211
119,LDOS,2890,14.952825451090009,13.923126838793564,13.690771620160607,102.01,94.2,93.1,76.91999816894531,111.3000030517578
120,LECO,2895,27.462190657414112,21.317514727419848,21.88650924359452,190.14,188.91,182.85,140.5,217.91000366210935
121,LII,2923,46.512481777444194,47.55018613487212,37.023138221521855,394.48,359.16,333.84,233.13999938964844,444.0700073242188
122,LRN,2996,54.61302285841394,52.33534611826016,39.47255279092555,54.9,45.45,44.07,31.280000686645508,62.27000045776367
123,LZB,3038,30.031080158220053,30.493381399525337,23.721187424135216,31.6,30.39,29.94,22.709999084472656,36.65999984741211
124,MANH,3048,32.86372392061591,32.783678784808785,23.57424551713379,211.7,198.61,187.75,115.18000030517578,227.9199981689453
125,MATX,3059,42.37496750070319,42.74982065448161,33.40935372034512,93.17,86.3,80.41,56.83000183105469,104.13999938964844
126,MCO,3092,24.628988824783736,21.16037203642697,20.57323879244723,344.38,338.21,328.82,273.0199890136719,391.6199951171875
127,MEDP,3118,36.230967188741694,36.2461365644292,28.93144628441522,266.37,250.47,236.01,174.30999755859375,301.3399963378906
128,MELI,3123,40.71526424011158,38.62183563475379,29.448905669321114,1407.59,1309.27,1294.72,826.1099853515625,1652.010009765625
129,MLI,3197,26.914459826979737,20.361571633122175,19.95100911238959,39.68,39.67,38.72,29.295000076293945,45.900001525878906
130,MLM,3198,27.599597508419407,23.70473186479895,20.644252686921316,447.02,438.56,417.83,320.6000061035156,493.0499877929688
131,MLR,3201,22.267096111840647,22.703846187095124,18.450610700902775,38.86,37.83,36.76,26.229999542236328,41.68999862670898
132,MMYT,3216,56.32176852157342,60.47119173973641,46.03709066067019,41.72,35.55,32.78,22.51000022888184,46.77000045776367
133,MOH,3238,19.35499515241275,21.312162957404574,16.26687285379115,354.3,322.09,311.7,260.6400146484375,382.3900146484375
134,MORN,3243,28.9126838866068,32.09512796290279,23.64635863667408,259.77,231.7,222.37,172.02999877929688,284.7900085449219
135,MRTX,3277,57.68447219843033,37.12232047164948,30.52576999907218,56.39,43.9,43.37,27.799999237060547,62.380001068115234
136,MSFT,3288,27.814277084313304,23.68864933618393,19.732751460614562,356.62,338.72,325.32,222.3099975585937,382.7000122070313
137,MSTR,3297,127.79267979208252,113.7163627883082,76.88989254739653,466.35,388.25,361.98,136.6300048828125,599.3900146484375
138,NEU,3438,43.54321293419173,43.103680566707425,32.041454302137105,499.61,456.65,434.48,305.07000732421875,560.5700073242188
139,NFLX,3453,40.150382044325966,32.720249982064615,26.773999685787093,433.81,421.04,396.85,276.8800048828125,486.1199951171875
140,NHC,3465,51.39509287104938,46.95910006487933,46.532688047628326,74.69,66.96,64.48,52.43999862670898,94.20999908447266
141,NMIH,3502,17.487973379128846,19.611191354489918,12.427603843219725,27.73,27.24,26.09,20.059999465942383,29.739999771118164
142,NOW,3534,44.09797052055427,40.501292243942146,33.441501804373566,626.74,581.53,548.68,366.3200073242188,716.47998046875
143,NRG,3547,40.43698960534624,38.83696253657929,30.996409404434555,45.04,39.49,37.94,30.81999969482422,49.290000915527344
144,NRGX,3548,29.68143498158599,28.948732373129868,20.4106132583954,19.68,17.46,16.73,13.65999984741211,20.57999992370605
145,NRP,3553,46.219284981533,55.70573360613284,40.14215175720711,74.41,65.03,61.95,45.06999969482422,85.47000122070312
146,NTAP,3568,30.638230205842113,28.171085401520298,24.319045692991097,79.63,76.62,73.32,58.18000030517578,91.38999938964844
147,NTNX,3580,62.155173872696665,59.54730020277255,50.39676708669975,39.96,33.69,31.52,23.420000076293945,47.02999877929688
148,NVDA,3603,80.27306105958601,76.1178167963657,51.2532997667431,460.7,438.52,395.74,140.36000061035156,504.0899963378906
149,NWLI,3626,44.25504150105473,47.233456066927175,33.62331722890482,479.91,440.35,391.89,226.0,486.7900085449219
150,NWS,3629,29.8862366429756,27.021981639376847,21.975657305392318,22.43,20.94,19.97,15.760000228881836,24.530000686645508
151,NWSA,3630,26.54413071982099,23.29521406631388,19.133024015953524,21.54,20.39,19.52,15.600000381469728,23.39999961853028
152,NYT,3649,20.352735310497742,20.603858402732136,13.75791203014873,43.95,41.61,40.81,32.060001373291016,47.66999816894531
153,OFG,3680,34.602799504657064,31.345650302727318,27.237444144686222,32.45,30.14,28.9,23.0,37.54999923706055
154,OLED,3697,38.02514427865495,37.6860174242087,29.709634608279,162.17,154.09,151.1,104.02999877929688,190.9499969482422
155,ORTX,3757,208.15974695007563,200.14123145137404,141.74180929084247,16.08,9.1,8.1,3.700000047683716,16.43000030517578
156,PAM,3804,39.950913580500924,32.99842013111687,32.73155465884792,41.87,41.44,39.36,27.3799991607666,50.36000061035156
157,PARR,3809,28.41723750690347,34.720304607113604,22.943808789669706,33.34,30.97,29.64,20.65999984741211,37.02000045776367
158,PCAR,3835,25.063154812848907,24.525160417939183,19.58973083293981,89.03,84.35,81.33,65.1866683959961,98.05999755859376
159,PDD,3858,77.53680967098016,75.34803770050114,64.64060003632518,119.42,94.26,89.13,60.02000045776367,148.41000366210938
160,PH,3918,30.111575193797332,27.889177757514663,22.728761336108953,412.57,394.36,377.46,286.6199951171875,455.4100036621094
161,PJT,3946,30.76999758382656,28.31707589155723,28.69642505239479,84.44,78.0,76.22,61.59999847412109,101.58999633789062
162,PRI,4031,17.501285284405263,17.864476784965717,10.615937595317853,205.42,201.22,194.33,139.35000610351562,216.8000030517578
163,PRLB,4034,36.942537862166496,20.502069620207415,28.760664576905953,31.85,31.32,31.23,23.280000686645508,38.90999984741211
164,PRO,4038,37.91379261514194,37.797938384168745,28.217336847515405,35.57,33.72,31.95,22.950000762939453,39.720001220703125
165,PSN,4067,27.34701440048077,28.702866839379187,21.650500456357435,60.7,54.14,51.66,40.88999938964844,64.62999725341797
166,PSX,4075,25.083240543035178,29.493890471836593,21.576337468073582,117.87,110.47,107.55,90.80999755859376,131.3000030517578
167,PTC,4079,29.773246955213466,25.878746582604833,23.893113600671608,151.53,144.57,139.62,117.33000183105467,171.83999633789062
168,PTVE,4094,51.218664305656205,43.186806096708764,43.10848917323105,10.33,8.74,8.57,6.869999885559082,12.81999969482422
169,QLYS,4134,54.94639007351603,54.03266663224682,45.335288080819616,172.58,149.97,142.72,101.86000061035156,202.13999938964844
170,QQQ,4137,24.70087716967796,22.529901138329066,18.62394062613868,376.89,368.7,354.81,260.1000061035156,407.0799865722656
171,R,4154,23.689553206120987,27.53402667536056,18.58987666734368,103.7,96.23,93.46,77.43000030517578,111.88999938964844
172,RACE,4157,27.335624427915626,24.030022146196032,17.338618796210987,336.62,316.67,306.26,210.25,371.9599914550781
173,RAMP,4162,35.03233892642784,33.988449765780715,29.21586395429531,31.6,29.47,27.77,20.489999771118164,36.0
174,RCL,4184,63.8937498779918,58.42485494607253,46.536768268088856,99.11,97.17,89.36,48.0,122.5199966430664
175,RCMT,4186,87.29283333956856,81.61557110204849,66.6768068025927,22.98,20.16,18.19,10.31999969482422,28.420000076293945
176,RDNT,4196,43.24075742735251,34.28692518178721,30.26872246422803,31.25,30.98,29.73,18.07999992370605,37.18999862670898
177,RELX,4213,20.250081121329544,19.145434114916714,16.923375848454366,36.7,34.08,33.53,27.6299991607666,39.97999954223633
178,REX,4224,31.78028753027681,33.11873238466291,28.45426068578945,38.89,37.13,35.16,27.709999084472656,49.02000045776367
179,ROAD,4294,36.66968099957684,33.68977831153001,32.82673614880077,40.8,35.33,33.09,24.36000061035156,43.75
180,RPD,4309,43.456614219406084,40.962812525736574,27.775303514466664,51.87,47.93,47.28,32.0,59.43999862670898
181,RPM,4311,22.365649106348325,22.11467877427921,20.75864059348615,99.7,94.99,92.08,78.9000015258789,112.22000122070312
182,RYAAY,4347,40.06686621893104,32.90914446065199,32.232006460041276,107.2,104.23,101.64,73.5,131.22000122070312
183,SAIA,4361,39.24771437763031,43.31832342684402,25.756563135829097,397.68,379.86,353.85,208.19000244140625,438.5799865722656
184,SAP,4375,24.90376945299623,21.486114276817617,17.537909174855603,144.72,138.13,135.34,101.80999755859376,160.16000366210938
185,SBRA,4396,14.852452718685269,18.14193348867952,11.194813119095144,14.21,13.01,12.57,10.149999618530272,14.670000076293944
186,SBS,4397,31.15742118121731,28.676962183309158,29.427437918833665,12.89,11.93,11.38,8.899999618530273,14.6899995803833
187,SCS,4416,52.13975577032416,59.08597042323915,40.082685999374654,11.66,9.46,9.06,6.489999771118164,12.880000114440918
188,SFM,4452,35.216921761736664,36.96535452941273,28.10687954479743,43.2,39.72,38.36,30.1200008392334,48.86000061035156
189,SKT,4518,36.08257575471157,33.49451337233561,29.11489101798471,24.63,23.2,22.12,17.530000686645508,27.899999618530277
190,SKX,4519,33.6699777359788,25.701599210654045,24.84741275438575,52.98,51.82,50.88,40.38999938964844,62.59999847412109
191,SKYW,4521,95.58640559484098,92.48788390956511,62.43640363224144,44.25,41.04,36.48,14.869999885559082,50.34000015258789
192,SNPS,4585,41.04789571062912,37.91324399442195,30.647641270855363,512.8,465.88,442.65,315.0400085449219,568.0900268554688
193,SPLK,4620,48.65999721666548,46.94297304848732,34.099887744470166,149.25,123.74,115.37,82.52999877929688,152.55999755859375
194,SPOT,4625,53.15702188155386,49.88799215228669,35.89036500380951,173.85,159.74,153.07,76.51000213623047,199.4900054931641
195,SPXC,4636,30.0814839923761,24.61699342123297,25.49537393661302,84.82,82.04,78.56,61.68000030517578,97.4800033569336
196,STN,4700,30.323849731471725,28.37141527750103,23.876733893675436,68.34,65.86,64.05,46.84999847412109,77.77999877929688
197,STNE,4702,64.47006198284173,43.96700326662991,54.34619270622867,12.65,12.54,12.08,8.239999771118164,17.5
198,SWI,4745,23.969035023928257,19.53969727650847,18.176852394349616,10.66,10.34,9.9,8.100000381469727,11.970000267028809
199,TBBK,4796,26.525935724086438,23.724359177219874,19.870982482534586,37.29,35.93,34.18,26.0,41.5099983215332
200,TDG,4824,29.170593112586538,26.172003501534522,20.684901993165994,919.14,876.92,844.31,610.1599731445312,1011.3599853515624
201,TGH,4857,39.56193192213983,32.40848155007259,27.67547976277439,46.56,41.64,39.63,30.559999465942383,49.45000076293945
202,THR,4876,26.59952651328683,27.44327516615699,21.85791316720814,29.64,27.21,26.24,19.39999961853028,33.13999938964844
203,TIMB,4886,34.87784416951257,31.537047802713452,30.788640583676052,16.72,15.47,14.85,10.25,18.81999969482422
204,TNC,4916,28.19728689847091,22.550445041820073,20.324451072084628,82.2,80.19,77.53,59.84000015258789,91.22000122070312
205,TNET,4918,34.47488877227288,37.95035772480839,26.333954837140606,113.26,106.19,100.56,63.0099983215332,121.77999877929688
206,TNK,4919,35.91149775860439,30.575743478989548,24.139638360698036,48.33,42.62,42.37,26.709999084472656,53.38999938964844
207,TT,4998,28.470782230890336,26.569429112014454,23.380882071861862,216.84,200.93,195.77,163.22999572753906,240.1000061035156
208,TTWO,5011,26.2077576318663,23.712520360402998,19.53412508707202,148.35,143.95,138.01,98.11000061035156,163.88999938964844
209,TW,5019,20.573055647415945,23.749518860866665,14.933141305144757,89.87,81.01,78.92,61.77999877929688,96.9000015258789
210,UBER,5051,69.76341372253306,65.65983391410546,53.044280947047454,51.49,46.53,43.1,24.39999961853028,62.720001220703125
211,UBS,5055,32.98432343710858,37.497297385661895,29.289817941800216,25.79,23.46,22.65,18.030000686645508,29.75
212,UPWK,5104,43.516275476582805,48.30920211215263,37.33448510772392,12.75,11.68,11.27,7.599999904632568,15.550000190734863
213,URBN,5105,29.154690706088857,26.045154829067464,19.49604093475979,34.84,33.69,31.98,23.59000015258789,37.77000045776367
214,VIV,5202,31.55417507047917,28.014073169151743,26.274991373410394,9.94,9.1,8.78,6.489999771118164,11.0
215,VNT,5229,31.45893024796954,28.78008659057256,21.21727644532387,32.38,31.26,30.11,18.46999931335449,35.189998626708984
216,VRNS,5246,66.42348983482366,64.48564126408426,54.91679375330298,37.14,31.27,29.65,22.440000534057617,45.310001373291016
217,VRRM,5248,31.354566542005198,27.019029838254035,23.412266293589738,20.28,19.48,18.84,13.210000038146973,22.489999771118164
218,VSEC,5258,23.888768691239658,22.69451454738442,18.08470573858372,58.53,55.04,52.6,40.95000076293945,62.77000045776367
219,VST,5260,38.78612509592101,42.110187096927035,34.342053426546904,34.54,30.49,28.92,21.290000915527344,38.119998931884766
220,VVI,5275,44.73750687065668,42.550516332861214,36.658881544139334,29.64,27.68,25.79,17.3799991607666,35.40999984741211
221,WDAY,5302,32.766967745176586,31.702707790303013,29.55753317274723,235.23,227.78,218.07,160.19000244140625,278.67999267578125
222,WDFC,5304,28.02386879503883,26.856146429053602,19.828921795674106,222.74,211.59,203.88,160.17999267578125,243.2400054931641
223,WELL,5309,18.89712389205505,19.430800359436276,13.144385933180358,86.74,82.82,80.53,63.54999923706055,91.87000274658205
224,WING,5331,46.135195733023494,35.0657851936663,36.493448691747076,213.04,191.57,190.55,132.30999755859375,251.77999877929688
225,WRK,5372,33.108908238375214,35.30705134135454,27.653666630555406,38.1,33.75,32.67,26.8799991607666,43.150001525878906
226,WSO,5382,33.89910731606694,29.643359398439447,24.34980521995466,382.04,366.26,354.37,247.0,426.0299987792969
227,WTS,5394,22.874837323081152,19.40786664960055,17.275826881267758,187.38,181.52,177.12,143.13999938964844,206.57000732421875
228,WWD,5402,24.03815930899703,24.63262570933039,17.608244838700355,130.56,123.97,117.35,89.38999938964844,138.55999755859375
229,X,5410,83.73449746839833,83.00547166830086,73.62787331012962,34.8,29.31,28.2,20.799999237060547,49.59000015258789
230,XPO,5440,84.43191512218533,87.77907248990677,57.68044858107558,81.03,69.22,61.17,29.82999992370605,90.30999755859376
231,YELP,5453,36.513414546115,38.70705560073652,26.660336605130258,43.79,41.09,38.21,25.6200008392334,46.459999084472656
232,ZEUS,5481,35.94887144543018,34.17231474055798,25.369197202757043,53.19,50.87,50.49,32.220001220703125,61.31999969482422
